code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
159801,2024-03-28,2024-03-29,0.42,0.42,-0.0009999999999999998,20,到期,1.0,1,trend
159801,2024-05-30,2024-05-31,0.412,0.412,-0.001,20,到期,1.0,1,range
159801,2024-07-02,2024-07-03,0.415,0.415,-0.001,20,到期,1.0,1,range
159801,2024-08-06,2024-08-07,0.423,0.423,-0.001,20,到期,1.0,1,range
159801,2024-11-15,2024-11-18,0.609,0.608,-0.0026412151067323492,20,到期,1.0,1,trend
159801,2024-12-19,2024-12-20,0.606,0.605,-0.0026493399339934005,20,到期,1.0,1,trend
159801,2025-01-20,2025-01-21,0.608,0.61,0.0022878289473684237,20,到期,1.0,1,trend
159801,2025-02-26,2025-02-27,0.698,0.696,-0.003863896848137539,20,到期,1.0,1,trend
159801,2025-03-27,2025-03-28,0.624,0.624,-0.001,20,到期,1.0,1,range
159801,2025-07-28,2025-07-29,0.635,0.634,-0.0025740157480314972,20,到期,1.0,1,trend
159801,2025-08-27,2025-08-28,0.787,0.786,-0.002270012706480306,20,到期,1.0,1,trend
159801,2025-09-04,2025-09-05,0.728,0.732,0.0044917582417582464,4,止损,1.0,1,trend
159801,2025-10-16,2025-10-17,0.878,0.875,-0.004415148063781325,20,到期,1.0,1,trend
159801,2025-11-20,2025-11-21,0.822,0.806,-0.02045498783454976,19,止损,1.0,1,range
159801,2026-01-23,2026-01-26,1.012,1.013,-1.2351778656235265e-05,20,到期,1.0,1,trend
159801,2026-03-04,2026-03-05,0.9,0.921,0.022321666666666688,20,到期,1.0,1,range
159801,2026-05-21,2026-05-22,1.224,1.235,0.007982434640522973,20,到期,1.0,1,trend
159801,2026-05-25,2026-06-01,1.257,1.21,-0.038371917263325325,6,期末平仓,1.0,1,trend
159806,2024-03-29,2024-04-01,0.476,0.477,0.0010997899159663888,20,到期,1.0,1,trend
159806,2024-05-06,2024-05-07,0.498,0.496,-0.005014056224899603,20,到期,1.0,1,trend
159806,2024-06-04,2024-06-05,0.478,0.479,0.0010910041841004205,20,到期,1.0,1,range
159806,2024-11-06,2024-11-07,0.555,0.554,-0.0028009009009009028,20,到期,1.0,1,trend
159806,2024-12-06,2024-12-09,0.553,0.553,-0.0009999999999999998,20,到期,1.0,1,trend
159806,2025-01-10,2025-01-13,0.497,0.493,-0.009044265593561376,20,到期,1.0,1,range
159806,2025-03-10,2025-03-11,0.586,0.579,-0.012939419795221854,20,到期,1.0,1,trend
159806,2025-04-07,2025-04-08,0.491,0.48,-0.023392057026476596,15,止损,1.0,1,range
159806,2025-06-19,2025-06-20,0.521,0.522,0.0009184261036468346,20,到期,1.0,1,range
159806,2025-07-25,2025-07-28,0.587,0.584,-0.006108177172061333,20,到期,1.0,1,trend
159806,2025-08-25,2025-08-26,0.626,0.626,-0.001,20,到期,1.0,1,trend
159806,2025-09-23,2025-09-24,0.754,0.749,-0.007627984084880642,20,到期,1.0,1,trend
159806,2025-10-31,2025-11-03,0.826,0.819,-0.009470338983050856,20,到期,1.0,1,trend
159806,2025-12-03,2025-12-04,0.763,0.763,-0.001,20,到期,1.0,1,range
159806,2026-01-22,2026-01-23,0.838,0.838,-0.001,20,到期,1.0,1,trend
159806,2026-03-02,2026-03-03,0.819,0.819,-0.0009999999999999998,20,到期,1.0,1,trend
159806,2026-04-08,2026-04-09,0.814,0.815,0.00022788697788697914,20,到期,1.0,1,range
159806,2026-05-13,2026-05-14,0.921,0.921,-0.0009999999999999998,20,到期,1.0,1,trend
159823,2021-11-22,2021-11-23,0.846,0.842,-0.005725768321513006,20,到期,1.0,1,range
159823,2022-02-25,2022-02-28,0.749,0.747,-0.0036688918558077464,20,到期,1.0,1,range
159823,2022-06-15,2022-06-16,0.737,0.74,0.0030685210312076023,20,到期,1.0,1,trend
159823,2022-07-15,2022-07-18,0.707,0.707,-0.001,20,到期,1.0,1,range
159823,2022-12-15,2022-12-16,0.689,0.688,-0.0024506531204644424,20,到期,1.0,1,trend
159823,2023-01-16,2023-01-17,0.732,0.735,0.00309631147540984,20,到期,1.0,1,trend
159823,2023-02-22,2023-02-23,0.7,0.7,-0.0009999999999999998,20,到期,1.0,1,range
159823,2023-03-31,2023-04-03,0.711,0.709,-0.003811533052039384,20,到期,1.0,1,trend
159823,2023-05-18,2023-05-19,0.694,0.693,-0.0024402017291066296,20,到期,1.0,1,trend
159823,2023-06-19,2023-06-20,0.72,0.719,-0.0023881944444444454,20,到期,1.0,1,trend
159823,2023-07-21,2023-07-24,0.696,0.69,-0.009616379310344836,20,到期,1.0,1,trend
159823,2023-08-22,2023-08-23,0.673,0.671,-0.003970282317979201,20,到期,1.0,1,range
