date,close,v7_vwap_dist,future_return_5d
2023-10-16,0.815,,-0.036809815950920144
2023-10-17,0.824,,-0.029126213592232886
2023-10-18,0.812,,-0.008620689655172376
2023-10-19,0.822,,-0.025547445255474366
2023-10-20,0.806,,0.013647642679900596
2023-10-23,0.785,,0.0878980891719745
2023-10-24,0.8,,0.0674999999999999
2023-10-25,0.805,,0.05465838509316767
2023-10-26,0.801,,0.046192259675405634
2023-10-27,0.817,,0.05263157894736836
2023-10-30,0.854,,0.02810304449648715
2023-10-31,0.854,,0.030444964871194413
2023-11-01,0.849,,0.03886925795053009
2023-11-02,0.838,,0.039379474940334225
2023-11-03,0.86,,0.010465116279069875
2023-11-06,0.878,,-0.006833712984054663
2023-11-07,0.88,,0.001136363636363713
2023-11-08,0.882,,-0.0045351473922902175
2023-11-09,0.871,,-0.006888633754305373
2023-11-10,0.869,0.038957162572935126,-0.0011507479861909697
2023-11-13,0.872,0.03973655297546494,-0.008027522935779796
2023-11-14,0.881,0.04732347308456569,-0.03178206583427923
2023-11-15,0.878,0.04039869547276592,-0.04214123006833714
2023-11-16,0.865,0.021944474720859558,-0.01965317919075149
2023-11-17,0.868,0.02254277846493695,-0.03917050691244239
2023-11-20,0.865,0.014696273292708957,-0.020809248554913284
2023-11-21,0.853,-0.0035885884778925218,-0.007033997655334079
2023-11-22,0.841,-0.019669621771800466,0.007134363852556502
2023-11-23,0.848,-0.013713818487979704,-0.004716981132075526
2023-11-24,0.834,-0.032232772576372255,0.01558752997601931
2023-11-27,0.847,-0.0182060760964683,-0.008264462809917328
2023-11-28,0.847,-0.01795689333628742,-0.037780401416765086
2023-11-29,0.847,-0.017839714190776026,-0.038961038961038974
2023-11-30,0.844,-0.021484689812211483,-0.04502369668246442
2023-12-01,0.847,-0.01781072709767983,-0.03541912632821731
2023-12-04,0.84,-0.024296175962324494,-0.00952380952380949
2023-12-05,0.815,-0.05024628852730179,0.020858895705521574
2023-12-06,0.814,-0.04750446558168492,0.01228501228501222
2023-12-07,0.806,-0.05337249810521156,0.018610421836228186
2023-12-08,0.817,-0.037121524449159206,-0.003671970624234966
2023-12-11,0.832,-0.016354508475064103,-0.038461538461538325
2023-12-12,0.832,-0.013428976444836366,-0.028846153846153744
2023-12-13,0.824,-0.019640015691614044,-0.029126213592232886
2023-12-14,0.821,-0.02056645583272914,-0.01948842874543233
2023-12-15,0.814,-0.026226090370861353,-0.023341523341523174
2023-12-18,0.8,-0.03903679442366807,-0.012499999999999956
2023-12-19,0.808,-0.02609014735145732,-0.04579207920792083
2023-12-20,0.8,-0.033457934026675754,-0.022499999999999964
2023-12-21,0.805,-0.02467040010630792,-0.007453416149068359
2023-12-22,0.795,-0.034159732963874936,0.01132075471698113
2023-12-25,0.79,-0.03752533568874976,0.0
2023-12-26,0.771,-0.05604119036854792,0.006485084306095956
2023-12-27,0.782,-0.037483508677710255,-0.023017902813299296
2023-12-28,0.799,-0.013411779162178918,-0.06257822277847314
2023-12-29,0.804,-0.004767597490484406,-0.09950248756218916
2024-01-02,0.79,-0.019666120777498176,-0.08227848101265833
2024-01-03,0.776,-0.03369190738956651,-0.07603092783505161
2024-01-04,0.764,-0.04530502592257697,-0.048429319371727786
