date,open,high,low,close,volume
2024-11-19,136.482,136.453,136.511,136.382,10371.0
2024-11-20,136.499,136.548,136.558,136.497,16014.0
2024-11-21,136.563,136.635,136.639,136.549,33598.0
2024-11-22,136.679,136.661,136.685,136.613,37658.0
2024-11-25,136.661,136.774,136.775,136.568,13868.0
2024-11-26,136.774,136.747,136.824,136.695,31489.0
2024-11-27,136.724,136.688,136.746,136.68,23838.0
2024-11-28,136.687,136.786,136.791,136.687,29668.0
2024-11-29,136.829,136.863,136.871,136.762,26459.0
2024-12-02,137.011,137.168,137.182,136.863,23929.0
2024-12-03,137.203,137.141,137.252,137.131,32736.0
2024-12-04,137.144,137.262,137.289,137.144,33480.0
2024-12-05,137.259,137.292,137.315,137.144,21527.0
2024-12-06,137.29,137.249,137.314,137.245,76784.0
2024-12-09,137.25,137.261,137.299,137.249,24478.0
2024-12-10,137.204,137.697,137.718,137.175,46065.0
2024-12-11,137.674,137.706,137.74,137.474,31006.0
2024-12-12,137.735,137.887,137.952,137.735,34696.0
2024-12-13,138.194,138.379,138.421,138.194,37769.0
2024-12-16,138.478,138.487,138.728,138.476,20894.0
2024-12-17,138.428,138.287,138.428,138.241,99246.0
2024-12-18,138.349,138.279,138.488,138.031,19936.0
2024-12-19,138.295,138.324,138.393,138.295,34594.0
2024-12-20,138.515,138.761,138.824,138.514,22046.0
2024-12-23,138.829,138.685,138.926,138.643,39287.0
2024-12-24,138.654,138.577,138.709,138.572,30995.0
2024-12-25,138.578,138.319,138.615,138.277,20638.0
2024-12-26,138.349,138.321,138.411,138.311,28753.0
2024-12-27,138.444,138.612,138.623,138.39,29039.0
2024-12-30,138.591,138.327,138.594,138.279,18093.0
2024-12-31,138.474,138.54,138.57,138.335,23833.0
2025-01-02,138.684,138.735,138.762,138.584,27487.0
2025-01-03,138.794,139.111,139.123,138.794,21161.0
2025-01-06,139.131,139.113,139.323,138.925,31543.0
2025-01-07,139.117,138.882,139.117,138.777,15614.0
2025-01-08,138.834,138.927,138.999,138.834,34266.0
2025-01-09,138.875,138.622,138.925,138.594,26075.0
2025-01-10,138.274,138.533,138.611,137.985,15031.0
2025-01-13,138.526,138.363,138.526,138.225,32960.0
2025-01-14,138.343,138.435,138.453,138.184,23460.0
2025-01-15,138.574,138.591,138.669,138.563,37847.0
2025-01-16,138.553,138.567,138.649,138.44,26141.0
2025-01-17,138.617,138.502,138.617,138.49,24902.0
2025-01-20,138.452,138.513,138.544,138.409,82198.0
2025-01-21,138.41,138.543,138.55,138.41,10240.0
2025-01-22,138.624,138.634,138.671,138.612,124685.0
2025-01-23,138.583,138.47,138.589,138.417,126339.0
2025-01-24,138.466,138.328,138.466,138.236,154365.0
2025-01-27,138.446,138.82,138.823,138.446,118679.0
2025-02-05,138.755,138.783,138.812,138.486,104712.0
2025-02-06,138.797,138.918,138.936,138.746,110857.0
2025-02-07,138.942,138.835,138.983,138.824,158454.0
2025-02-10,138.789,138.605,138.789,138.582,151570.0
2025-02-11,138.589,138.572,138.661,138.52,52802.0
2025-02-12,138.582,138.574,138.665,138.562,28326.0
2025-02-13,138.576,138.551,138.577,138.493,152223.0
2025-02-14,138.55,138.25,138.55,138.239,144112.0
2025-02-17,138.242,138.156,138.242,138.054,15595.0
2025-02-18,138.146,137.961,138.146,137.805,157012.0
2025-02-19,137.985,138.141,138.143,137.939,146661.0
2025-02-20,138.142,137.907,138.142,137.834,58578.0
2025-02-21,137.804,137.774,137.997,137.604,157081.0
2025-02-24,137.674,137.388,137.724,137.255,158630.0
2025-02-25,137.503,137.577,137.78,137.236,18767.0
2025-02-26,137.617,137.589,137.767,137.531,145746.0
2025-02-27,137.6,137.531,137.674,137.49,153011.0
2025-02-28,137.51,137.578,137.664,137.356,20762.0
2025-03-03,137.614,137.924,137.96,137.536,156581.0
2025-03-04,138.036,137.918,138.187,137.757,21393.0
2025-03-05,137.904,137.87,137.998,137.867,149918.0
2025-03-06,137.86,137.741,137.86,137.663,149712.0
2025-03-07,137.61,137.461,137.61,137.324,18771.0
2025-03-10,137.323,137.229,137.419,137.21,23009.0
2025-03-11,137.259,136.905,137.275,136.851,12963.0
2025-03-12,136.854,137.397,137.457,136.699,183836.0
2025-03-13,137.324,137.415,137.574,137.254,20625.0
2025-03-14,137.315,137.39,137.452,137.065,52481.0
2025-03-17,137.262,137.103,137.268,137.095,12210.0
2025-03-18,137.086,137.204,137.28,137.053,23671.0
2025-03-19,137.204,137.116,137.322,137.064,32373.0
2025-03-20,137.236,137.289,137.374,137.224,37766.0
2025-03-21,137.336,137.236,137.336,137.23,13837.0
2025-03-24,137.204,137.168,137.229,137.114,14798.0
2025-03-25,137.339,137.341,137.394,137.244,40245.0
2025-03-26,137.331,137.5,137.507,137.268,8144.0
2025-03-27,137.504,137.551,137.582,137.426,11059.0
2025-03-28,137.542,137.521,137.627,137.469,9230.0
2025-03-31,137.517,137.511,137.618,137.484,90483.0
