date,open,high,low,close,volume
2024-11-19,0.343,0.347,0.347,0.338,17704719.0
2024-11-20,0.346,0.354,0.356,0.345,24926695.0
2024-11-21,0.353,0.35,0.353,0.348,19505329.0
2024-11-22,0.349,0.335,0.35,0.334,25879831.0
2024-11-25,0.335,0.334,0.339,0.33,15411230.0
2024-11-26,0.333,0.333,0.339,0.332,11765393.0
2024-11-27,0.333,0.339,0.34,0.33,15438556.0
2024-11-28,0.339,0.335,0.34,0.334,13123878.0
2024-11-29,0.335,0.341,0.344,0.334,18748208.0
2024-12-02,0.342,0.347,0.349,0.34,17209734.0
2024-12-03,0.347,0.347,0.348,0.343,13189969.0
2024-12-04,0.346,0.341,0.346,0.34,13511253.0
2024-12-05,0.341,0.341,0.344,0.339,9418919.0
2024-12-06,0.342,0.352,0.355,0.341,26312520.0
2024-12-09,0.357,0.353,0.359,0.351,17803399.0
2024-12-10,0.365,0.354,0.367,0.352,24124091.0
2024-12-11,0.352,0.355,0.357,0.352,11199795.0
2024-12-12,0.355,0.358,0.358,0.352,21180726.0
2024-12-13,0.355,0.348,0.356,0.347,17489333.0
2024-12-16,0.346,0.344,0.348,0.342,11089135.0
2024-12-17,0.343,0.34,0.344,0.339,12515570.0
2024-12-18,0.341,0.341,0.343,0.339,9287356.0
2024-12-19,0.338,0.338,0.34,0.335,12487172.0
2024-12-20,0.338,0.338,0.342,0.337,8506807.0
2024-12-23,0.338,0.335,0.339,0.334,13643750.0
2024-12-24,0.335,0.338,0.339,0.334,10574229.0
2024-12-25,0.341,0.336,0.342,0.334,15355607.0
2024-12-26,0.335,0.334,0.337,0.334,10014585.0
2024-12-27,0.335,0.335,0.337,0.332,11844823.0
2024-12-30,0.334,0.333,0.336,0.332,14193621.0
2024-12-31,0.333,0.327,0.334,0.326,18720793.0
2025-01-02,0.326,0.319,0.328,0.316,23561150.0
2025-01-03,0.319,0.315,0.322,0.313,14352613.0
2025-01-06,0.316,0.315,0.32,0.314,13477705.0
2025-01-07,0.316,0.313,0.316,0.308,16362291.0
2025-01-08,0.312,0.309,0.313,0.304,15948571.0
2025-01-09,0.308,0.308,0.312,0.307,9955686.0
2025-01-10,0.308,0.304,0.31,0.303,12398198.0
2025-01-13,0.302,0.305,0.307,0.301,12065317.0
2025-01-14,0.306,0.315,0.315,0.306,18079068.0
2025-01-15,0.313,0.31,0.314,0.309,11065690.0
2025-01-16,0.311,0.311,0.316,0.309,15466364.0
2025-01-17,0.31,0.311,0.313,0.308,11958590.0
2025-01-20,0.313,0.314,0.318,0.312,14676581.0
2025-01-21,0.315,0.313,0.316,0.309,11050745.0
2025-01-22,0.311,0.31,0.312,0.307,10692988.0
2025-01-23,0.312,0.31,0.315,0.31,11708927.0
2025-01-24,0.31,0.312,0.314,0.309,11580024.0
2025-01-27,0.313,0.311,0.315,0.311,9691158.0
2025-02-05,0.313,0.313,0.315,0.31,10816955.0
2025-02-06,0.313,0.319,0.32,0.31,18528236.0
2025-02-07,0.319,0.328,0.331,0.318,26851015.0
2025-02-10,0.329,0.337,0.338,0.327,27793043.0
2025-02-11,0.338,0.333,0.339,0.331,17492718.0
2025-02-12,0.332,0.334,0.336,0.33,13660910.0
2025-02-13,0.334,0.333,0.338,0.333,15714741.0
2025-02-14,0.334,0.349,0.352,0.333,41665710.0
2025-02-17,0.355,0.355,0.363,0.352,38786765.0
2025-02-18,0.353,0.345,0.353,0.343,29033430.0
2025-02-19,0.343,0.349,0.351,0.34,21455671.0
2025-02-20,0.349,0.36,0.362,0.349,37612620.0
2025-02-21,0.361,0.364,0.365,0.357,29517522.0
2025-02-24,0.363,0.356,0.364,0.353,29055542.0
2025-02-25,0.35,0.349,0.354,0.348,22798402.0
2025-02-26,0.35,0.353,0.353,0.348,21853348.0
2025-02-27,0.351,0.351,0.355,0.347,19658428.0
2025-02-28,0.35,0.342,0.354,0.341,22352338.0
2025-03-03,0.342,0.346,0.352,0.341,19294990.0
2025-03-04,0.343,0.349,0.35,0.342,15543369.0
2025-03-05,0.349,0.345,0.35,0.342,16291494.0
2025-03-06,0.347,0.353,0.354,0.346,25769048.0
2025-03-07,0.351,0.348,0.352,0.346,19162375.0
2025-03-10,0.355,0.35,0.358,0.347,22064726.0
2025-03-11,0.345,0.35,0.351,0.345,15290239.0
2025-03-12,0.35,0.346,0.353,0.346,14843881.0
2025-03-13,0.346,0.343,0.348,0.341,15850973.0
2025-03-14,0.344,0.352,0.353,0.343,24867772.0
2025-03-17,0.354,0.351,0.354,0.349,17426255.0
2025-03-18,0.355,0.357,0.361,0.353,22165901.0
2025-03-19,0.355,0.355,0.358,0.353,13456068.0
2025-03-20,0.355,0.35,0.355,0.349,15626094.0
2025-03-21,0.349,0.343,0.35,0.342,19562564.0
2025-03-24,0.343,0.34,0.345,0.337,18113176.0
2025-03-25,0.341,0.341,0.343,0.339,12012523.0
2025-03-26,0.342,0.34,0.343,0.339,12922287.0
2025-03-27,0.339,0.344,0.345,0.336,17604679.0
2025-03-28,0.344,0.341,0.348,0.341,16986751.0
2025-03-31,0.34,0.336,0.341,0.334,17889607.0
2025-04-01,0.338,0.344,0.349,0.337,26322071.0
2025-04-02,0.344,0.342,0.345,0.34,12484090.0
2025-04-03,0.339,0.337,0.343,0.335,20237617.0
2025-04-07,0.324,0.305,0.326,0.303,44033982.0
2025-04-08,0.306,0.308,0.314,0.304,22994363.0
2025-04-09,0.302,0.309,0.31,0.296,27783005.0
2025-04-10,0.313,0.315,0.319,0.313,23220375.0
2025-04-11,0.312,0.315,0.317,0.311,18849365.0
