date,open,high,low,close,volume
2024-11-19,0.377,0.379,0.38,0.371,17927713.0
2024-11-20,0.378,0.387,0.39,0.377,31385501.0
2024-11-21,0.387,0.385,0.387,0.382,17796558.0
2024-11-22,0.384,0.371,0.385,0.37,23205364.0
2024-11-25,0.371,0.368,0.374,0.365,18976879.0
2024-11-26,0.368,0.37,0.375,0.367,18856170.0
2024-11-27,0.369,0.376,0.377,0.368,17637432.0
2024-11-28,0.376,0.373,0.377,0.37,13671628.0
2024-11-29,0.372,0.377,0.381,0.372,19170062.0
2024-12-02,0.378,0.381,0.382,0.375,16947703.0
2024-12-03,0.38,0.379,0.38,0.377,20267505.0
2024-12-04,0.378,0.374,0.379,0.373,13981093.0
2024-12-05,0.374,0.373,0.374,0.37,12603120.0
2024-12-06,0.373,0.382,0.383,0.372,23949840.0
2024-12-09,0.385,0.383,0.387,0.381,16410709.0
2024-12-10,0.393,0.381,0.396,0.38,28440386.0
2024-12-11,0.38,0.381,0.383,0.379,15003909.0
2024-12-12,0.381,0.385,0.385,0.38,24150833.0
2024-12-13,0.383,0.374,0.383,0.373,21055531.0
2024-12-16,0.374,0.37,0.374,0.368,15760735.0
2024-12-17,0.37,0.369,0.372,0.368,15036892.0
2024-12-18,0.37,0.37,0.371,0.368,10118322.0
2024-12-19,0.368,0.369,0.37,0.365,14832498.0
2024-12-20,0.368,0.368,0.371,0.367,14020012.0
2024-12-23,0.368,0.366,0.37,0.365,18942227.0
2024-12-24,0.366,0.37,0.37,0.365,12353110.0
2024-12-25,0.372,0.369,0.373,0.367,14359539.0
2024-12-26,0.369,0.367,0.369,0.366,9464518.0
2024-12-27,0.366,0.366,0.368,0.365,14722871.0
2024-12-30,0.366,0.366,0.37,0.365,12928898.0
2024-12-31,0.366,0.361,0.367,0.361,15520326.0
2025-01-02,0.361,0.351,0.362,0.349,23732602.0
2025-01-03,0.352,0.348,0.354,0.346,17516211.0
2025-01-06,0.349,0.349,0.353,0.348,18031285.0
2025-01-07,0.35,0.344,0.35,0.341,19215013.0
2025-01-08,0.344,0.341,0.345,0.337,19307607.0
2025-01-09,0.341,0.341,0.344,0.339,10451387.0
2025-01-10,0.341,0.336,0.342,0.336,14152011.0
2025-01-13,0.334,0.338,0.339,0.334,13621894.0
2025-01-14,0.338,0.346,0.347,0.337,18159909.0
2025-01-15,0.346,0.343,0.346,0.341,10902060.0
2025-01-16,0.343,0.34,0.347,0.339,15823656.0
2025-01-17,0.339,0.341,0.343,0.338,11179710.0
2025-01-20,0.343,0.347,0.349,0.343,19701019.0
2025-01-21,0.348,0.346,0.349,0.343,12407105.0
2025-01-22,0.345,0.342,0.346,0.341,10245222.0
2025-01-23,0.345,0.343,0.348,0.343,15239917.0
2025-01-24,0.343,0.346,0.348,0.342,15346844.0
2025-01-27,0.346,0.346,0.349,0.345,10719766.0
2025-02-05,0.348,0.346,0.348,0.343,12729438.0
2025-02-06,0.346,0.349,0.35,0.343,17143361.0
2025-02-07,0.349,0.354,0.357,0.348,29811745.0
2025-02-10,0.354,0.357,0.357,0.352,18716041.0
2025-02-11,0.357,0.353,0.358,0.352,12784427.0
2025-02-12,0.352,0.354,0.354,0.35,12732094.0
2025-02-13,0.354,0.353,0.356,0.351,17640043.0
2025-02-14,0.353,0.362,0.363,0.352,33745915.0
2025-02-17,0.364,0.364,0.368,0.361,25468299.0
2025-02-18,0.362,0.357,0.364,0.356,19154122.0
2025-02-19,0.356,0.358,0.361,0.354,19489555.0
2025-02-20,0.358,0.365,0.369,0.358,25458188.0
2025-02-21,0.366,0.373,0.374,0.365,33739665.0
2025-02-24,0.372,0.368,0.374,0.366,20584093.0
2025-02-25,0.364,0.362,0.366,0.361,14607642.0
2025-02-26,0.364,0.367,0.367,0.362,15714102.0
2025-02-27,0.366,0.367,0.37,0.363,17705548.0
2025-02-28,0.365,0.357,0.369,0.357,21544599.0
2025-03-03,0.358,0.358,0.364,0.357,17126252.0
2025-03-04,0.357,0.359,0.36,0.355,11706498.0
2025-03-05,0.359,0.356,0.359,0.354,13194404.0
2025-03-06,0.357,0.362,0.362,0.357,18432102.0
2025-03-07,0.36,0.358,0.361,0.356,17002344.0
2025-03-10,0.359,0.359,0.362,0.355,13259432.0
2025-03-11,0.356,0.36,0.36,0.355,14029852.0
2025-03-12,0.361,0.357,0.363,0.357,12117633.0
2025-03-13,0.357,0.356,0.359,0.355,11238660.0
2025-03-14,0.357,0.366,0.367,0.356,31949123.0
2025-03-17,0.368,0.365,0.368,0.364,12733118.0
2025-03-18,0.369,0.37,0.375,0.367,23558794.0
2025-03-19,0.37,0.37,0.373,0.368,21264363.0
2025-03-20,0.371,0.366,0.371,0.365,15933188.0
2025-03-21,0.365,0.36,0.367,0.359,17960212.0
2025-03-24,0.36,0.359,0.361,0.356,12421494.0
2025-03-25,0.359,0.36,0.36,0.357,9868946.0
2025-03-26,0.36,0.359,0.363,0.358,12504119.0
2025-03-27,0.358,0.366,0.367,0.356,22569094.0
2025-03-28,0.365,0.366,0.371,0.365,20357154.0
2025-03-31,0.365,0.362,0.369,0.361,13144868.0
2025-04-01,0.364,0.374,0.376,0.363,33389215.0
2025-04-02,0.374,0.369,0.374,0.367,22042534.0
2025-04-03,0.366,0.366,0.371,0.364,18152853.0
2025-04-07,0.355,0.342,0.356,0.333,34384073.0
2025-04-08,0.343,0.344,0.347,0.339,23118548.0
2025-04-09,0.339,0.343,0.344,0.333,23328799.0
2025-04-10,0.348,0.348,0.353,0.346,22127903.0
2025-04-11,0.346,0.349,0.35,0.344,17246953.0
2025-04-14,0.35,0.35,0.353,0.348,14013838.0
2025-04-15,0.349,0.347,0.349,0.345,13264453.0
2025-04-16,0.346,0.348,0.348,0.342,14838092.0
2025-04-17,0.346,0.348,0.349,0.345,11331670.0
2025-04-18,0.348,0.347,0.35,0.345,9115742.0
2025-04-21,0.345,0.348,0.349,0.344,11351020.0
2025-04-22,0.348,0.352,0.353,0.347,16624131.0
2025-04-23,0.352,0.351,0.355,0.35,9673032.0
2025-04-24,0.352,0.352,0.355,0.35,12145435.0
2025-04-25,0.353,0.351,0.355,0.35,15687915.0
2025-04-28,0.35,0.349,0.351,0.348,11567270.0
2025-04-29,0.35,0.35,0.352,0.349,8991349.0
2025-04-30,0.35,0.354,0.356,0.349,16545879.0
2025-05-06,0.357,0.357,0.358,0.355,10318688.0
2025-05-07,0.36,0.357,0.362,0.355,11545086.0
2025-05-08,0.356,0.357,0.358,0.355,6364841.0
2025-05-09,0.357,0.358,0.36,0.356,9731562.0
2025-05-12,0.357,0.357,0.358,0.354,12749290.0
2025-05-13,0.359,0.36,0.361,0.358,16052127.0
2025-05-14,0.359,0.363,0.364,0.358,14042599.0
2025-05-15,0.363,0.363,0.365,0.362,10945360.0
2025-05-16,0.363,0.363,0.364,0.36,9219030.0
2025-05-19,0.363,0.363,0.364,0.36,7317803.0
2025-05-20,0.363,0.368,0.369,0.363,14461947.0
2025-05-21,0.367,0.371,0.373,0.366,17577253.0
2025-05-22,0.37,0.369,0.372,0.368,12415676.0
2025-05-23,0.37,0.37,0.376,0.369,18124069.0
2025-05-26,0.369,0.365,0.371,0.364,13241419.0
2025-05-27,0.365,0.367,0.369,0.365,8928339.0
2025-05-28,0.367,0.367,0.369,0.366,7961019.0
2025-05-29,0.367,0.372,0.373,0.365,13270970.0
2025-05-30,0.371,0.373,0.376,0.371,13342322.0
2025-06-03,0.372,0.375,0.377,0.371,11418739.0
2025-06-04,0.376,0.379,0.38,0.374,15747422.0
2025-06-05,0.379,0.376,0.38,0.374,12061422.0
2025-06-06,0.376,0.373,0.377,0.372,9378189.0
2025-06-09,0.373,0.378,0.382,0.373,16030875.0
2025-06-10,0.378,0.379,0.383,0.376,18755288.0
2025-06-11,0.379,0.378,0.382,0.377,10643951.0
2025-06-12,0.377,0.383,0.384,0.376,14833157.0
2025-06-13,0.382,0.377,0.386,0.376,19543898.0
2025-06-16,0.376,0.374,0.378,0.372,20859707.0
2025-06-17,0.375,0.367,0.378,0.366,18545392.0
2025-06-18,0.367,0.365,0.368,0.364,7618170.0
2025-06-19,0.365,0.361,0.367,0.36,12390929.0
2025-06-20,0.362,0.363,0.364,0.361,6934309.0
2025-06-23,0.362,0.363,0.364,0.359,12236042.0
2025-06-24,0.364,0.365,0.366,0.362,16042051.0
2025-06-25,0.366,0.369,0.369,0.363,13788382.0
2025-06-26,0.368,0.366,0.369,0.364,13598213.0
2025-06-27,0.365,0.365,0.367,0.364,12545396.0
2025-06-30,0.365,0.368,0.369,0.363,12341209.0
2025-07-01,0.368,0.37,0.371,0.368,9648629.0
2025-07-02,0.371,0.368,0.373,0.367,9281595.0
2025-07-03,0.369,0.37,0.371,0.367,8884092.0
2025-07-04,0.371,0.371,0.374,0.37,13182006.0
2025-07-07,0.372,0.367,0.373,0.366,11080805.0
2025-07-08,0.367,0.369,0.37,0.366,12224160.0
2025-07-09,0.37,0.374,0.376,0.367,19489286.0
