date,close,v8_cmf,future_return_5d
2021-06-07,0.832,,-0.012019230769230727
2021-06-08,0.836,,-0.03468899521531088
2021-06-09,0.83,,-0.031325301204819134
2021-06-10,0.837,,-0.031063321385901954
2021-06-11,0.825,,-0.00848484848484854
2021-06-15,0.822,,-0.009732360097323589
2021-06-16,0.807,,0.011152416356877248
2021-06-17,0.804,,0.0012437810945273853
2021-06-18,0.811,,-0.006165228113440224
2021-06-21,0.818,,-0.008557457212713837
2021-06-22,0.814,,-0.013513513513513375
2021-06-23,0.816,,-0.017156862745097867
2021-06-24,0.805,,-0.011180124223602483
2021-06-25,0.806,,-0.023573200992555887
2021-06-28,0.811,,-0.04808877928483357
2021-06-29,0.803,,-0.03611457036114574
2021-06-30,0.802,,-0.03615960099750626
2021-07-01,0.796,,-0.045226130653266416
2021-07-02,0.787,,-0.03430749682337997
2021-07-05,0.772,0.07788628889240234,-0.0090673575129534
2021-07-06,0.774,0.10775258138072559,0.007751937984496138
2021-07-07,0.773,0.098511929076147,-0.005174644243208237
2021-07-08,0.76,0.04742548850078855,0.006578947368421018
2021-07-09,0.76,0.07292119278661204,0.011842105263157876
2021-07-12,0.765,0.120790284533965,-0.007843137254901933
2021-07-13,0.78,0.18125765647743883,-0.03076923076923077
2021-07-14,0.769,0.1718893202875894,-0.014304291287386195
2021-07-15,0.765,0.20731352437882,-0.007843137254901933
2021-07-16,0.769,0.19947776399468695,-0.035110533159948054
2021-07-19,0.759,0.14424588194330387,-0.06192358366271411
2021-07-20,0.756,0.1549774985645062,-0.08465608465608476
2021-07-21,0.758,0.12969056239046833,-0.09894459102902364
2021-07-22,0.759,0.15736960675623352,-0.08695652173913049
2021-07-23,0.742,-0.024516942671493597,-0.07142857142857151
2021-07-26,0.712,-0.17168010853665674,-0.016853932584269704
2021-07-27,0.692,-0.19224299436094658,-0.0014450867052022698
2021-07-28,0.683,-0.24609627521114066,0.0
2021-07-29,0.693,-0.22517591984305374,-0.037518037518037395
2021-07-30,0.689,-0.18465917209462301,-0.037735849056603654
2021-08-02,0.7,-0.12357526066912958,-0.029999999999999916
2021-08-03,0.691,-0.1736367438790041,-0.0014471780028944004
2021-08-04,0.683,-0.22621122621802464,0.008784773060029227
2021-08-05,0.667,-0.2519508490580554,0.03148425787106435
2021-08-06,0.663,-0.2681288520139671,0.03318250377073917
2021-08-09,0.679,-0.24587537079766617,0.016200294550809957
2021-08-10,0.69,-0.2569876031118912,-0.023188405797101352
2021-08-11,0.689,-0.24486500915767642,-0.01741654571843232
2021-08-12,0.688,-0.29283576245996257,-0.007267441860464907
2021-08-13,0.685,-0.3102312884238018,-0.020437956204379604
2021-08-16,0.69,-0.292304576417712,-0.004347826086956386
2021-08-17,0.674,-0.3266490768424584,0.014836795252225476
2021-08-18,0.677,-0.2765896653348377,0.028064992614475592
2021-08-19,0.683,-0.257924355203185,0.008784773060029227
2021-08-20,0.671,-0.19686705172908092,0.011922503725782407
2021-08-23,0.687,-0.05579235362468069,-0.017467248908296984
2021-08-24,0.684,0.005902036184782961,-0.00877192982456143
2021-08-25,0.696,0.11650995901649247,0.010057471264367734
2021-08-26,0.689,0.10779050146405472,0.018867924528301883
2021-08-27,0.679,0.08432140699113441,0.03534609720176718
2021-08-30,0.675,0.057920993252579656,0.05333333333333323
2021-08-31,0.678,0.0986031831258293,0.07227138643067832
