date,close,volume,volume_ratio_5,future_return_5d
2023-10-16,0.565,1092173,,-0.03362831858407067
2023-10-17,0.566,943657,,-0.03886925795052987
2023-10-18,0.565,1318168,,-0.03539823008849541
2023-10-19,0.551,1696549,,0.0
2023-10-20,0.552,1263540,1.0005722125780023,-0.0036231884057971175
2023-10-23,0.546,1356332,1.0309222245565155,-0.009157509157509125
2023-10-24,0.544,1003885,0.7561112689452425,-0.005514705882352922
2023-10-25,0.545,1222457,0.9342054725197901,-0.007339449541284404
2023-10-26,0.551,1278666,1.0438294301276108,-0.010889292196007316
2023-10-27,0.55,1205116,0.9932619638220405,-0.012727272727272698
2023-10-30,0.541,2878476,1.8965790791450334,0.005545286506469571
2023-10-31,0.541,1297997,0.8233188019554691,0.003696857670979714
2023-11-01,0.541,993798,0.6491972292326692,-0.001848428835489857
2023-11-02,0.545,1833584,1.1168171991349465,-0.003669724770642202
2023-11-03,0.543,1417155,0.8414400410402078,-0.007366482504604033
2023-11-06,0.544,2692049,1.6345994690927275,-0.014705882352941235
2023-11-07,0.543,1435152,0.8571410142075635,-0.011049723756906049
2023-11-08,0.54,1464070,0.8279056458882087,0.0
2023-11-09,0.543,1495236,0.8791718203287008,-0.007366482504604033
2023-11-10,0.539,1280496,0.7652058927192926,-0.005565862708719838
2023-11-13,0.536,1093217,0.8076162673785873,0.005597014925373234
2023-11-14,0.537,957549,0.7610989977375652,0.007448789571694592
2023-11-15,0.54,1334527,1.0830397539370478,-0.0018518518518518823
2023-11-16,0.539,1046342,0.9158946109604279,0.0
2023-11-17,0.536,1063969,0.9680182560461051,0.005597014925373234
2023-11-20,0.539,853271,0.8117641977465048,-0.00927643784786647
2023-11-21,0.541,1526026,1.3100881075043762,-0.01848428835489835
2023-11-22,0.539,1216558,1.0660029869442986,-0.02226345083487946
2023-11-23,0.539,1086873,0.9456501708720679,-0.01855287569573283
2023-11-24,0.539,1086399,0.9415627355750706,-0.02226345083487946
2023-11-27,0.534,1524575,1.1835970294534637,-0.014981273408239737
2023-11-28,0.531,1772424,1.3253097993084615,-0.026365348399246757
2023-11-29,0.527,1360651,0.9959497414843853,-0.020872865275142316
