date,close,volume,volume_ratio_5,future_return_5d
2023-10-16,0.309,457285,,-0.07766990291262144
2023-10-17,0.308,504603,,-0.06818181818181823
2023-10-18,0.301,643558,,-0.04983388704318936
2023-10-19,0.298,590464,,-0.030201342281879207
2023-10-20,0.289,700298,1.208991205051571,0.01384083044982698
2023-10-23,0.285,1081440,1.5359779659086295,0.06666666666666665
2023-10-24,0.287,608652,0.8396561980260522,0.04878048780487809
2023-10-25,0.286,644270,0.8886178790022079,0.04195804195804209
2023-10-26,0.289,467222,0.6671012901062914,0.02076124567474058
2023-10-27,0.293,563649,0.8374591001574037,0.027303754266211566
2023-10-30,0.304,808026,1.3067162081609562,0.016447368421052655
2023-10-31,0.301,548699,0.9048866275752293,0.036544850498339
2023-11-01,0.298,429400,0.7621594066871236,0.046979865771812124
2023-11-02,0.295,378203,0.6931931610860356,0.05084745762711873
2023-11-03,0.301,526794,0.9787627614058374,0.029900332225913706
2023-11-06,0.309,881700,1.5945118554859021,0.012944983818770295
2023-11-07,0.312,657135,1.1435467097679546,0.009615384615384581
2023-11-08,0.312,789667,1.2210719718793788,0.012820512820512775
2023-11-09,0.31,503825,0.7499357718879434,0.003225806451612856
2023-11-10,0.31,489462,0.7367445674604859,0.016129032258064502
2023-11-13,0.313,692611,1.105453761930603,-0.0031948881789137795
2023-11-14,0.315,534982,0.8885129513008765,-0.022222222222222254
2023-11-15,0.316,492787,0.9079724962569099,-0.044303797468354444
2023-11-16,0.311,453264,0.851006306170314,-0.012861736334405127
2023-11-17,0.315,477085,0.899912816436535,-0.04444444444444451
2023-11-20,0.312,489993,1.0007573186019751,-0.03525641025641024
2023-11-21,0.308,535114,1.0928531195637035,-0.019480519480519543
2023-11-22,0.302,494298,1.0088727276289782,-0.0033112582781457123
2023-11-23,0.307,523042,1.0379745127269666,-0.0228013029315961
2023-11-24,0.301,664391,1.2272455906116289,0.009966777408637828
2023-11-27,0.301,396493,0.7585949463865753,0.0
2023-11-28,0.302,359559,0.7374713007679519,-0.026490066225165587
2023-11-29,0.301,394538,0.8437427689975676,-0.023255813953488413
2023-11-30,0.3,462327,1.0150734990611723,-0.01666666666666672
2023-12-01,0.304,653271,1.441343348389454,0.006578947368421018
2023-12-04,0.301,508295,1.0687492378016727,0.029900332225913706
2023-12-05,0.294,730762,1.3290481970527352,0.054421768707483054
2023-12-06,0.294,541695,0.9351338753948936,0.04761904761904767
2023-12-07,0.295,576042,0.9568597355871052,0.03728813559322042
2023-12-08,0.306,1688279,2.086833785199921,-0.006535947712418277
2023-12-11,0.31,690390,0.8166105534485499,-0.029032258064516148
2023-12-12,0.31,419569,0.5357146049195922,-0.022580645161290325
2023-12-13,0.308,611892,0.7675183108004371,-0.0357142857142857
2023-12-14,0.306,1375861,1.4373836056106248,-0.022875816993464082
2023-12-15,0.304,478650,0.6691856137605756,-0.0296052631578948
2023-12-18,0.301,434856,0.6547403237987635,-0.013289036544850474
2023-12-19,0.303,433288,0.6496954458881521,-0.03960396039603964
2023-12-20,0.297,477195,0.7456521399440599,-0.013468013468013518
2023-12-21,0.299,441152,0.9737848548942427,0.0033444816053511683
2023-12-22,0.295,600777,1.25829399966824,0.03728813559322042
2023-12-25,0.297,338968,0.7396590700800391,0.010101010101010166
2023-12-26,0.291,498159,1.0571008776229698,0.0068728522336769515
2023-12-27,0.293,512999,1.0722976687408943,-0.013651877133105783
2023-12-28,0.3,846767,1.5133432463442793,-0.056666666666666754
2023-12-29,0.306,694262,1.2006654779837125,-0.10130718954248352
2024-01-02,0.3,886032,1.2885043099348819,-0.07666666666666655
2024-01-03,0.293,913218,1.1849884695576078,-0.06825938566552892
2024-01-04,0.289,601502,0.762982519830503,-0.03806228373702403
2024-01-05,0.283,736044,0.9606275864265172,-0.0353356890459362
2024-01-08,0.275,541906,0.7365451183596823,-0.0072727272727273196
2024-01-09,0.277,527810,0.7947796704090975,-0.018050541516245522
2024-01-10,0.273,537228,0.912259848055181,-0.03296703296703296
2024-01-11,0.278,642702,1.0763039699365975,-0.021582733812949617
2024-01-12,0.273,629906,1.0937569455248595,-0.0073260073260073
2024-01-15,0.273,431348,0.7788893728191537,-0.03663003663003661
2024-01-16,0.272,551886,0.9879559051509629,-0.018382352941176516
2024-01-17,0.264,588589,1.0346339918247272,0.011363636363636465
2024-01-18,0.272,882869,1.4310924794738245,0.007352941176470562
2024-01-19,0.271,489933,0.8319106847221632,-0.01845018450184499
2024-01-22,0.263,579717,0.9371453678862616,-0.034220532319391705
2024-01-23,0.267,805671,1.2036513316236297,-0.07490636704119857
2024-01-24,0.267,789687,1.11290075726977,-0.10486891385767794
2024-01-25,0.274,890276,1.2520462500323462,-0.10218978102189791
2024-01-26,0.266,908240,1.14284535071677,-0.10150375939849632
2024-01-29,0.254,1419546,1.4745710949802844,-0.06299212598425208
2024-01-30,0.247,525194,0.5793079683552165,0.028340080971659853
2024-01-31,0.239,603188,0.6938867727273145,0.08368200836820083
2024-02-01,0.246,881549,1.0161439761976172,0.08943089430894324
2024-02-02,0.239,900153,1.0395264722389672,0.1673640167364019
2024-02-05,0.238,1145583,1.4123237928557744,0.16806722689075637
2024-02-06,0.254,1313872,1.356088387594195,0.08267716535433078
2024-02-07,0.259,932365,0.9010931044653913,0.084942084942085
2024-02-08,0.268,962659,0.9160099127779072,0.05223880597014907
2024-02-19,0.279,1220304,1.0944856508316108,0.014336917562723928
2024-02-20,0.278,709433,0.6902935080205184,0.08273381294964022
2024-02-21,0.275,687769,0.762065847761677,0.036363636363636154
2024-02-22,0.281,682752,0.8008037688746931,0.06049822064056931
2024-02-23,0.282,648526,0.8211717835161406,0.09929078014184411
