date,close,volume,v5_divergence,future_return_5d
2021-06-07,1.112,3878706,0.0,0.06025179856115104
2021-06-08,1.107,3758929,0.0,0.02168021680216814
2021-06-09,1.114,2701009,0.0,0.03680430879712748
2021-06-10,1.166,10000679,0.0,0.012864493996569637
2021-06-11,1.189,9278572,0.0,0.021026072329688672
2021-06-15,1.179,3439913,-1.0,0.03392705682782027
2021-06-16,1.131,5413967,0.0,0.09195402298850586
2021-06-17,1.155,2602662,-1.0,0.10476190476190483
2021-06-18,1.181,4227869,0.0,0.0846740050804402
2021-06-21,1.214,5820950,0.0,0.07001647446457993
2021-06-22,1.219,3835754,0.0,0.095159967186218
2021-06-23,1.235,4033341,0.0,0.09554655870445328
2021-06-24,1.276,6075105,0.0,0.025078369905956244
2021-06-25,1.281,4050782,0.0,0.010148321623731471
2021-06-28,1.299,3866996,0.0,0.01385681293302543
2021-06-29,1.335,5676095,0.0,-0.03445692883895135
2021-06-30,1.353,4447146,0.0,0.003695491500369741
2021-07-01,1.308,4022005,0.0,0.04969418960244654
2021-07-02,1.294,3962713,0.0,0.06877897990726423
2021-07-05,1.317,3113741,-1.0,0.06378132118451041
2021-07-06,1.289,3995297,0.0,0.10550814584949575
2021-07-07,1.358,5599767,0.0,0.01988217967599404
2021-07-08,1.373,4717921,0.0,0.05972323379461031
2021-07-09,1.383,5121993,0.0,0.033984092552422185
2021-07-12,1.401,4941875,0.0,0.01498929336188426
2021-07-13,1.425,4489315,0.0,0.0035087719298245723
2021-07-14,1.385,4423160,0.0,0.09025270758122739
2021-07-15,1.455,6231307,0.0,0.0597938144329897
2021-07-16,1.43,4556266,0.0,0.08671328671328671
2021-07-19,1.422,3865110,0.0,0.08790436005625879
2021-07-20,1.43,2564364,-1.0,0.0062937062937062915
2021-07-21,1.51,4743105,0.0,-0.051655629139072845
2021-07-22,1.542,4192991,0.0,0.018806744487678273
2021-07-23,1.554,4569444,0.0,0.039897039897039965
2021-07-26,1.547,6400815,0.0,0.050420168067226934
2021-07-27,1.439,7449141,0.0,0.08061153578874203
2021-07-28,1.432,6838358,0.0,0.16620111731843568
2021-07-29,1.571,8319326,0.0,0.06874602164226618
2021-07-30,1.616,7990274,0.0,0.05136138613861374
2021-08-02,1.625,6978439,0.0,0.02892307692307683
2021-08-03,1.555,6269652,0.0,0.07717041800643099
2021-08-04,1.67,6041768,0.0,0.0005988023952097077
2021-08-05,1.679,4635218,-1.0,-0.008338296605122086
2021-08-06,1.699,4465820,-1.0,-0.03649205414949974
2021-08-09,1.672,5277492,0.0,-0.03588516746411474
2021-08-10,1.675,5612991,0.0,-0.04895522388059703
2021-08-11,1.671,3773492,-1.0,-0.0628366247755835
2021-08-12,1.665,3369703,0.0,-0.0402402402402402
2021-08-13,1.637,4005486,0.0,-0.017104459376908965
2021-08-16,1.612,3450749,0.0,0.03473945409429269
2021-08-17,1.593,3537065,0.0,0.058380414312617646
2021-08-18,1.566,4364088,0.0,0.127713920817369
2021-08-19,1.598,3728497,0.0,0.09762202753441795
2021-08-20,1.609,3641558,0.0,0.11497824735860784
2021-08-23,1.668,3794735,0.0,0.13968824940047964
2021-08-24,1.686,3837252,0.0,0.1103202846975091
2021-08-25,1.766,4854652,0.0,0.001698754246885592
2021-08-26,1.754,4682681,0.0,0.06727480045610035
2021-08-27,1.794,3939101,0.0,0.00557413600891854
2021-08-30,1.901,5528374,0.0,-0.06680694371383478
2021-08-31,1.872,6076015,0.0,-0.028311965811965933
2021-09-01,1.769,8469827,0.0,-0.009609949123798756
2021-09-02,1.872,5358443,0.0,-0.0657051282051282
2021-09-03,1.804,6459801,0.0,-0.012749445676275006
2021-09-06,1.774,6614943,0.0,-0.02931228861330326
2021-09-07,1.819,5352088,0.0,-0.05277625068719072
2021-09-08,1.752,6642070,0.0,0.008561643835616417
2021-09-09,1.749,6650956,0.0,-0.04745568896512298
2021-09-10,1.781,6608420,0.0,-0.0797304884896125
2021-09-13,1.722,6726928,0.0,-0.030197444831591147
2021-09-14,1.723,4719238,0.0,-0.028438769587928125
2021-09-15,1.767,5558372,0.0,-0.03452178834182229
2021-09-16,1.666,9267600,1.0,0.013805522208883536
2021-09-17,1.639,7113333,0.0,0.016473459426479486
2021-09-22,1.67,4928093,0.0,-0.005988023952095856
