date,close,volume,v5_divergence,future_return_5d
2023-10-16,1.637,2177739,0.0,-0.04642638973732438
2023-10-17,1.623,2170099,0.0,-0.014171287738755312
2023-10-18,1.598,2750218,0.0,0.0012515644555695093
2023-10-19,1.586,2336681,0.0,-0.0012610340479193294
2023-10-20,1.595,2336344,0.0,0.005015673981191293
2023-10-23,1.561,1841789,0.0,0.02882767456758506
2023-10-24,1.6,2610768,0.0,0.0
2023-10-25,1.6,3375742,0.0,-0.010000000000000009
2023-10-26,1.584,2150796,0.0,-0.007575757575757569
2023-10-27,1.603,2372098,0.0,-0.02058640049906424
2023-10-30,1.606,3738504,0.0,0.0031133250311332628
2023-10-31,1.6,3277049,0.0,0.0068749999999999645
2023-11-01,1.584,2067766,0.0,0.02777777777777768
2023-11-02,1.572,2264322,0.0,0.03371501272264621
2023-11-03,1.57,2595206,0.0,0.019108280254777066
2023-11-06,1.611,4700153,0.0,-0.006828057107386654
2023-11-07,1.611,4042830,0.0,0.008690254500310468
2023-11-08,1.628,4819272,0.0,-0.00859950859950842
2023-11-09,1.625,5004708,0.0,-0.009846153846153838
2023-11-10,1.6,4073741,0.0,0.0
2023-11-13,1.6,2381971,0.0,0.001874999999999849
2023-11-14,1.625,2492224,-1.0,0.008615384615384691
2023-11-15,1.614,3959746,0.0,0.008674101610904428
2023-11-16,1.609,2495922,0.0,0.039776258545680676
2023-11-17,1.6,1779957,0.0,0.043749999999999956
2023-11-20,1.603,1990182,-1.0,0.01933873986275736
2023-11-21,1.639,5309111,0.0,-0.01342281879194629
2023-11-22,1.628,3670789,0.0,-0.032555282555282505
2023-11-23,1.673,5321569,0.0,-0.06156604901374774
2023-11-24,1.67,3991110,0.0,-0.05329341317365266
2023-11-27,1.634,3198458,-1.0,-0.047735618115055
2023-11-28,1.617,2334563,0.0,-0.05875077303648735
2023-11-29,1.575,3620788,0.0,-0.020952380952380945
2023-11-30,1.57,2270343,0.0,-0.01273885350318471
2023-12-01,1.581,1962679,0.0,-0.037318153067678606
2023-12-04,1.556,1984713,0.0,-0.028920308483290635
2023-12-05,1.522,2299933,0.0,0.02233902759526951
2023-12-06,1.542,3216645,1.0,-0.012970168612192023
2023-12-07,1.55,1899598,0.0,-0.021290322580645227
2023-12-08,1.522,1949099,0.0,0.011169513797634645
2023-12-11,1.511,2135985,0.0,0.0019854401058903015
2023-12-12,1.556,4655671,0.0,-0.03791773778920304
2023-12-13,1.522,3224806,0.0,-0.03482260183968455
2023-12-14,1.517,1659156,0.0,-0.018457481872115933
2023-12-15,1.539,2769806,0.0,-0.04353476283300839
2023-12-18,1.514,2391261,0.0,-0.036988110964332965
2023-12-19,1.497,2504971,0.0,-0.042752171008684114
2023-12-20,1.469,1468486,0.0,-0.02246426140231461
2023-12-21,1.489,1746231,0.0,-0.011417058428475624
2023-12-22,1.472,2489497,0.0,-0.0020380434782607537
2023-12-25,1.458,1796510,0.0,-0.011659807956104218
2023-12-26,1.433,2122602,0.0,0.007676203768318235
2023-12-27,1.436,1873256,0.0,-0.0062674094707519945
2023-12-28,1.472,2630551,1.0,-0.03600543478260865
2023-12-29,1.469,1732292,0.0,-0.0496936691626958
2024-01-02,1.441,1945596,0.0,-0.024982650936849482
2024-01-03,1.444,2138999,0.0,-0.03116343490304707
2024-01-04,1.427,1742497,0.0,-0.01191310441485638
2024-01-05,1.419,1791776,0.0,-0.007751937984496249
2024-01-08,1.396,1357365,0.0,0.014326647564469885
2024-01-09,1.405,1514728,0.0,-0.002135231316726105
2024-01-10,1.399,2000710,0.0,-0.027877055039313703
2024-01-11,1.41,2118444,1.0,-0.0375886524822695
2024-01-12,1.408,1874801,0.0,-0.037642045454545414
2024-01-15,1.416,1669552,0.0,-0.08686440677966101
2024-01-16,1.402,1568970,0.0,-0.06205420827389441
2024-01-17,1.36,1500771,0.0,0.0022058823529411686
2024-01-18,1.357,2122410,1.0,0.0641120117907148
2024-01-19,1.355,2739814,1.0,0.09667896678966792
2024-01-22,1.293,1969682,0.0,0.12142304717710761
2024-01-23,1.315,1890399,0.0,0.057794676806083745
2024-01-24,1.363,3301593,0.0,-0.010271460014673495
2024-01-25,1.444,3520090,0.0,-0.08518005540166207
2024-01-26,1.486,5593373,0.0,-0.11843876177658141
2024-01-29,1.45,4592035,0.0,-0.15034482758620693
2024-01-30,1.391,3040814,-1.0,-0.08267433501078358
2024-01-31,1.349,2769566,0.0,-0.05189028910303939
2024-02-01,1.321,2242383,0.0,0.018925056775170424
2024-02-02,1.31,2501646,0.0,0.02519083969465652
2024-02-05,1.232,2321552,0.0,0.10146103896103886
2024-02-06,1.276,2988522,0.0,0.08307210031347956
2024-02-07,1.279,4242466,1.0,0.08287724784988271
2024-02-08,1.346,3147318,0.0,0.035661218424962726
2024-02-19,1.343,2372564,-1.0,0.027550260610573307
2024-02-20,1.357,3153264,0.0,0.037582903463522443
2024-02-21,1.382,6399261,0.0,-0.011577424023154648
2024-02-22,1.385,2388606,-1.0,0.0043321299638989785
2024-02-23,1.394,1892871,-1.0,-0.002152080344332785
2024-02-26,1.38,3661696,0.0,-0.020289855072463614
2024-02-27,1.408,2863784,0.0,-0.04403409090909083
2024-02-28,1.366,3630232,1.0,-0.02049780380673505
2024-02-29,1.391,2557935,0.0,-0.04457225017972688
2024-03-01,1.391,2086766,0.0,-0.05248023005032343
2024-03-04,1.352,4409844,1.0,0.0
2024-03-05,1.346,2727951,0.0,0.04606240713224352
2024-03-06,1.338,1565990,0.0,0.026905829596412634
2024-03-07,1.329,1929917,0.0,0.039879608728367044
2024-03-08,1.318,1367645,0.0,0.047040971168436974
2024-03-11,1.352,2154040,0.0,0.02218934911242587
2024-03-12,1.408,5151240,0.0,-0.029829545454545303
2024-03-13,1.374,2592486,0.0,-0.003639010189228631
2024-03-14,1.382,3492234,0.0,0.0
2024-03-15,1.38,1544580,-1.0,-0.018115942028985477
2024-03-18,1.382,1869562,-1.0,-0.00940665701881327
2024-03-19,1.366,2382165,0.0,0.016105417276720102
2024-03-20,1.369,1850664,0.0,-0.016800584368151905
2024-03-21,1.382,2178456,0.0,-0.02387843704775683
2024-03-22,1.355,2488029,0.0,-0.016974169741697298
2024-03-25,1.369,3606349,1.0,-0.01241782322863394
2024-03-26,1.388,4101413,0.0,-0.03818443804034577
2024-03-27,1.346,3025463,0.0,-0.023031203566121983
2024-03-28,1.349,2738046,0.0,-0.039288361749443945
2024-03-29,1.332,1811336,0.0,-0.02327327327327333
2024-04-01,1.352,1939174,0.0,-0.06656804733727817
2024-04-02,1.335,2108483,0.0,-0.05468164794007491
2024-04-03,1.315,1291366,0.0,-0.06311787072243347
2024-04-08,1.296,1737680,0.0,-0.06018518518518523
2024-04-09,1.301,1354480,0.0,-0.08301306687163712
2024-04-10,1.262,2026653,0.0,-0.032488114104595844
2024-04-11,1.262,1578504,0.0,-0.03961965134706813
2024-04-12,1.232,1441664,0.0,-0.02759740259740262
2024-04-15,1.218,1755633,0.0,-0.018883415435139494
2024-04-16,1.193,2359217,1.0,-0.010058675607711676
2024-04-17,1.221,1955002,0.0,-0.030303030303030387
2024-04-18,1.212,1596052,0.0,-0.018151815181518205
2024-04-19,1.198,1717886,0.0,0.030050083472454192
2024-04-22,1.195,1488682,0.0,0.11715481171548103
2024-04-23,1.181,1572584,0.0,0.09229466553767995
2024-04-24,1.184,1897790,0.0,0.09881756756756754
2024-04-25,1.19,1833535,0.0,0.1075630252100841
2024-04-26,1.234,6620054,0.0,0.03646677471636939
2024-04-29,1.335,14647105,0.0,-0.025468164794007486
2024-04-30,1.29,8665921,0.0,0.045736434108527124
2024-05-06,1.301,7243810,0.0,0.019984627209838512
2024-05-07,1.318,5683857,-1.0,0.01062215477996964
2024-05-08,1.279,4911445,-1.0,0.06098514464425331
2024-05-09,1.301,6161079,0.0,0.08224442736356652
2024-05-10,1.349,8977670,0.0,0.13269088213491487
2024-05-13,1.327,8576673,0.0,0.12358703843255481
2024-05-14,1.332,5454335,0.0,0.11786786786786796
2024-05-15,1.357,13734403,0.0,0.11127487103905676
2024-05-16,1.408,12200977,0.0,0.045454545454545414
2024-05-17,1.528,19346634,0.0,-0.06937172774869116
2024-05-20,1.491,19338309,0.0,-0.036887994634473564
2024-05-21,1.489,9932832,-1.0,-0.06581598388179988
2024-05-22,1.508,16440840,0.0,-0.07427055702917773
2024-05-23,1.472,11344799,-1.0,-0.07404891304347827
2024-05-24,1.422,7517460,0.0,-0.039381153305203864
2024-05-27,1.436,6713285,0.0,-0.07033426183844005
2024-05-28,1.391,8311022,0.0,-0.022286125089863384
2024-05-29,1.396,5784974,0.0,-0.05157593123209159
2024-05-30,1.363,5040011,0.0,-0.045487894350697
2024-05-31,1.366,4487669,0.0,-0.024890190336749662
2024-06-03,1.335,5302053,0.0,-0.01048689138576775
2024-06-04,1.36,8444288,1.0,-0.034558823529411864
2024-06-05,1.324,7192296,0.0,-0.023413897280966878
2024-06-06,1.301,6198698,0.0,0.009223674096848544
2024-06-07,1.332,5366234,0.0,-0.033033033033033066
2024-06-11,1.321,4037499,0.0,-0.027252081756245272
2024-06-12,1.313,3566300,0.0,-0.028179741051028162
2024-06-13,1.293,5774327,0.0,-0.04563031709203402
2024-06-14,1.313,7135964,0.0,-0.055597867479055596
2024-06-17,1.288,4537694,0.0,-0.07220496894409933
2024-06-18,1.285,3871476,0.0,-0.0568093385214008
2024-06-19,1.276,3333638,0.0,-0.04310344827586199
2024-06-20,1.234,4361966,0.0,-0.03160453808752017
2024-06-21,1.24,3055544,0.0,-0.049193548387096775
2024-06-24,1.195,4225156,0.0,0.030962343096234246
2024-06-25,1.212,4534129,0.0,0.009075907590759158
2024-06-26,1.221,3967874,0.0,0.013104013104013212
2024-06-27,1.195,3072585,0.0,0.0
2024-06-28,1.179,5037646,1.0,0.013570822731128196
2024-07-01,1.232,6591899,0.0,-0.06574675324675316
2024-07-02,1.223,4534178,0.0,-0.04987735077677857
2024-07-03,1.237,5371241,0.0,-0.07194826192400983
2024-07-04,1.195,3193217,0.0,-0.018410041841004254
2024-07-05,1.195,3085039,-1.0,0.007531380753138084
2024-07-08,1.151,5064895,0.0,0.02867072111207647
2024-07-09,1.162,3165926,0.0,0.024096385542168752
2024-07-10,1.148,2986227,0.0,0.053135888501742334
2024-07-11,1.173,3421238,0.0,0.038363171355498604
2024-07-12,1.204,5632248,0.0,-0.002491694352159346
2024-07-15,1.184,3184462,0.0,0.0050675675675675436
2024-07-16,1.19,3294914,0.0,-0.014285714285714235
2024-07-17,1.209,3627723,0.0,-0.052936311000827185
2024-07-18,1.218,2678533,-1.0,-0.05500821018062396
2024-07-19,1.201,4014792,0.0,-0.032472939217318975
2024-07-22,1.19,3021220,0.0,-0.03277310924369736
2024-07-23,1.173,2979664,0.0,0.002557544757033181
2024-07-24,1.145,3293019,0.0,0.0663755458515285
2024-07-25,1.151,3326935,0.0,0.04344048653344923
2024-07-26,1.162,2957318,0.0,0.02839931153184172
2024-07-29,1.151,2034490,0.0,0.026064291920069538
2024-07-30,1.176,3318038,0.0,0.023809523809523725
2024-07-31,1.221,4172031,0.0,-0.02129402129402136
2024-08-01,1.201,2894814,0.0,0.011656952539550458
2024-08-02,1.195,2823329,0.0,0.030962343096234246
2024-08-05,1.181,3466690,0.0,0.008467400508044065
2024-08-06,1.204,3810869,0.0,-0.013289036544850474
2024-08-07,1.195,2506798,0.0,-0.015062761506276168
