date,close,v9_ad_osc,future_return_5d
2024-10-10,3.875,3211323.3610978127,-0.05754838709677412
2024-10-11,3.766,5512849.330467761,0.010355815188529016
2024-10-14,3.829,8308962.021100193,-0.006267955079655274
2024-10-15,3.72,10713871.684861243,0.0293010752688172
2024-10-16,3.695,13129786.683193684,0.04032476319350464
2024-10-17,3.652,14850952.462788165,0.04052573932091996
2024-10-18,3.805,16668941.041901827,0.006307490144546568
2024-10-21,3.805,18949201.790047765,0.007884362680683266
2024-10-22,3.829,21931950.476527005,-0.007051449464612225
2024-10-23,3.844,24619163.79373172,-0.021852237252861673
2024-10-24,3.8,26789473.693294108,-0.010526315789473717
2024-10-25,3.829,28056224.983939856,-0.015931052494123854
2024-10-28,3.835,29516614.645483673,-0.003650586701434144
2024-10-29,3.802,28805101.363528937,0.03261441346659666
2024-10-30,3.76,29358045.28068605,0.037234042553191626
2024-10-31,3.76,27706476.221583307,0.07367021276595742
2024-11-01,3.768,25105862.56363243,0.05705944798301488
2024-11-04,3.821,19598021.143030375,0.047893221669719876
2024-11-05,3.926,15249503.226695955,0.008150789607743292
2024-11-06,3.9,12769284.444277048,0.021538461538461506
2024-11-07,4.037,11199917.520775378,-0.03071587812732235
2024-11-08,3.983,9422855.859298646,-0.03489831785086628
2024-11-11,4.004,7162360.997077674,-0.04420579420579407
2024-11-12,3.958,5588995.658610195,-0.028044466902476084
2024-11-13,3.984,4547356.385647118,-0.031877510040160595
2024-11-14,3.913,4689420.459253669,-0.013033478149757194
2024-11-15,3.844,4009531.941193521,-0.026534859521331944
2024-11-18,3.827,3105391.8715128303,-0.02795923700026126
2024-11-19,3.847,1777917.1032904685,-0.03509227969846629
2024-11-20,3.857,761917.7760395408,-0.02100077780658549
2024-11-21,3.862,244416.28438284993,-0.02977731745209744
2024-11-22,3.742,-220619.3523311317,0.01282736504543025
2024-11-25,3.72,-1353335.6850165129,0.026881720430107503
2024-11-26,3.712,-978988.6466420293,0.030172413793103425
2024-11-27,3.776,-751446.1803371608,0.007150423728813582
2024-11-28,3.747,449990.41192907095,0.013077128369362034
2024-11-29,3.79,2306226.0302384794,0.014775725593667577
2024-12-02,3.82,5249005.040046632,0.006020942408377028
2024-12-03,3.824,6765896.595254868,0.013075313807531463
2024-12-04,3.803,7480582.588075906,0.01603996844596378
2024-12-05,3.796,6758448.847682118,0.028977871443624847
2024-12-06,3.846,6952017.3377792835,-0.009620384815392624
2024-12-09,3.843,6588376.556838393,-0.015092375748113396
2024-12-10,3.874,5816163.928346306,-0.020134228187919545
2024-12-11,3.864,4240440.809982419,-0.013198757763975055
2024-12-12,3.906,2829575.3669032753,-0.022273425499231947
2024-12-13,3.809,1914379.060907513,-0.0005250721974272565
2024-12-16,3.785,1251641.3603879213,0.006869220607661708
2024-12-17,3.796,-9338.723689347506,0.016332982086406878
2024-12-18,3.813,-1608101.004183203,0.01258851298190411
2024-12-19,3.819,-3380771.2336402833,0.011259492013616201
2024-12-20,3.807,-4571137.810437411,0.0128710270554242
2024-12-23,3.811,-5617386.328825057,0.016793492521647968
2024-12-24,3.858,-6514667.289555997,-0.012182477967858985
2024-12-25,3.861,-8189752.327738613,-0.042217042217042255
2024-12-26,3.862,-9496135.514410049,-0.05282237182806837
2024-12-27,3.856,-11138874.169122487,-0.055497925311203344
2024-12-30,3.875,-12605590.009350806,-0.05316129032258066
2024-12-31,3.811,-14049786.45254594,-0.03883495145631066
2025-01-02,3.698,-15853881.083898932,-0.011627906976744207
