date,close,v9_ad_osc,future_return_5d
2021-06-07,0.832,,-0.012019230769230727
2021-06-08,0.836,,-0.03468899521531088
2021-06-09,0.83,,-0.031325301204819134
2021-06-10,0.837,,-0.031063321385901954
2021-06-11,0.825,,-0.00848484848484854
2021-06-15,0.822,,-0.009732360097323589
2021-06-16,0.807,,0.011152416356877248
2021-06-17,0.804,,0.0012437810945273853
2021-06-18,0.811,,-0.006165228113440224
2021-06-21,0.818,,-0.008557457212713837
2021-06-22,0.814,,-0.013513513513513375
2021-06-23,0.816,,-0.017156862745097867
2021-06-24,0.805,,-0.011180124223602483
2021-06-25,0.806,,-0.023573200992555887
2021-06-28,0.811,,-0.04808877928483357
2021-06-29,0.803,,-0.03611457036114574
2021-06-30,0.802,,-0.03615960099750626
2021-07-01,0.796,,-0.045226130653266416
2021-07-02,0.787,,-0.03430749682337997
2021-07-05,0.772,,-0.0090673575129534
2021-07-06,0.774,,0.007751937984496138
2021-07-07,0.773,,-0.005174644243208237
2021-07-08,0.76,,0.006578947368421018
2021-07-09,0.76,,0.011842105263157876
2021-07-12,0.765,,-0.007843137254901933
2021-07-13,0.78,,-0.03076923076923077
2021-07-14,0.769,,-0.014304291287386195
2021-07-15,0.765,,-0.007843137254901933
2021-07-16,0.769,,-0.035110533159948054
2021-07-19,0.759,,-0.06192358366271411
2021-07-20,0.756,,-0.08465608465608476
2021-07-21,0.758,,-0.09894459102902364
2021-07-22,0.759,,-0.08695652173913049
2021-07-23,0.742,,-0.07142857142857151
2021-07-26,0.712,,-0.016853932584269704
2021-07-27,0.692,,-0.0014450867052022698
2021-07-28,0.683,,0.0
2021-07-29,0.693,,-0.037518037518037395
2021-07-30,0.689,,-0.037735849056603654
2021-08-02,0.7,58925.44724841928,-0.029999999999999916
2021-08-03,0.691,-49372.894135340815,-0.0014471780028944004
2021-08-04,0.683,-180220.4130191008,0.008784773060029227
2021-08-05,0.667,-314229.73383913515,0.03148425787106435
2021-08-06,0.663,-464783.2076894725,0.03318250377073917
2021-08-09,0.679,-620626.7941337948,0.016200294550809957
2021-08-10,0.69,-802516.8823325031,-0.023188405797101352
2021-08-11,0.689,-976477.2446383545,-0.01741654571843232
2021-08-12,0.688,-1184782.5141952883,-0.007267441860464907
2021-08-13,0.685,-1400651.5393077773,-0.020437956204379604
2021-08-16,0.69,-1586981.2408625742,-0.004347826086956386
2021-08-17,0.674,-1794207.9409022196,0.014836795252225476
2021-08-18,0.677,-1972229.8898307541,0.028064992614475592
2021-08-19,0.683,-2152846.5744329896,0.008784773060029227
2021-08-20,0.671,-2235820.2407812574,0.011922503725782407
2021-08-23,0.687,-2184513.617486667,-0.017467248908296984
2021-08-24,0.684,-2096113.202293929,-0.00877192982456143
2021-08-25,0.696,-1936643.1121011905,0.010057471264367734
2021-08-26,0.689,-1789846.8585018595,0.018867924528301883
2021-08-27,0.679,-1671822.8733339005,0.03534609720176718
2021-08-30,0.675,-1593648.63874438,0.05333333333333323
2021-08-31,0.678,-1477684.8323366777,0.07227138643067832
2021-09-01,0.703,-1281893.982782424,0.08392603129445253
2021-09-02,0.702,-1046845.5754919846,0.054131054131054235
2021-09-03,0.703,-802942.4348682119,0.045519203413940224
2021-09-06,0.711,-571703.1516620216,0.04641350210970474
2021-09-07,0.727,-319553.9613756308,0.0027510316368637433
2021-09-08,0.762,36269.2650218714,-0.036745406824147064
