date,close,volume,v6_turnover,future_return_5d
2023-10-16,0.952,686804,,-0.05567226890756294
2023-10-17,0.953,588777,,-0.039874081846799525
2023-10-18,0.937,623980,,-0.01707577374599789
2023-10-19,0.92,1375596,,0.003260869565217428
2023-10-20,0.925,814465,,0.01729729729729712
2023-10-23,0.899,762988,,0.05339265850945485
2023-10-24,0.915,997095,,0.030601092896174853
2023-10-25,0.921,902100,,0.01845819761129186
2023-10-26,0.923,569101,,0.003250270855904569
2023-10-27,0.941,646754,,-0.011689691817215575
2023-10-30,0.947,670086,,-0.009503695881731833
2023-10-31,0.943,526213,,-0.014846235418875864
2023-11-01,0.938,354000,,-0.018123667377398567
2023-11-02,0.926,607213,,-0.002159827213822907
2023-11-03,0.93,629743,,-0.012903225806451646
2023-11-06,0.938,1099540,,-0.015991471215351716
2023-11-07,0.929,1131147,,-0.008611410118406937
2023-11-08,0.921,737012,,0.019543973941367865
2023-11-09,0.924,704224,,0.0021645021645022577
2023-11-10,0.918,481653,0.6461458775405237,0.01089324618736387
2023-11-13,0.923,581900,0.7861608135920031,0.007583965330444142
2023-11-14,0.921,577413,0.7806980735755539,0.011943539630836053
2023-11-15,0.939,1542959,1.9641514379358118,-0.02768903088391894
2023-11-16,0.926,1110176,1.4375134907381186,-0.009719222462203025
2023-11-17,0.928,632932,0.8292998889103552,-0.0237068965517242
2023-11-20,0.93,752522,0.98666933966479,-0.032258064516129115
2023-11-21,0.932,690612,0.9240625397228931,-0.0311158798283262
2023-11-22,0.913,1060607,1.404237456496035,-0.009857612267250793
2023-11-23,0.917,1004004,1.2920954061944403,-0.02071973827699025
2023-11-24,0.906,612410,0.7898820394152956,-0.008830022075055233
2023-11-27,0.9,531394,0.69157375410228,0.007777777777777883
2023-11-28,0.903,362559,0.47692518162959535,-0.01218161683277963
2023-11-29,0.904,446592,0.5839096918977876,0.005530973451327359
2023-11-30,0.898,545430,0.7160303538687569,0.006681514476614803
2023-12-01,0.898,586729,0.7724277843035872,-0.00111358574610243
2023-12-04,0.907,1063235,1.4031002585858212,-0.02094818081587657
2023-12-05,0.892,795272,1.0732679988407272,-0.005605381165919243
2023-12-06,0.909,957154,1.272830042626297,-0.04290429042904298
2023-12-07,0.904,788462,1.0426622824693046,-0.03761061946902655
2023-12-08,0.897,551821,0.7263582385443166,-0.024526198439241975
